-1,39,0,77516,11,13,2,8,3,0,1,2174,0,40,0
-1,50,1,83311,11,13,0,4,2,0,1,0,0,13,0
-1,38,2,215646,8,9,1,6,3,0,1,0,0,40,0
-1,53,2,234721,6,7,0,6,2,4,1,0,0,40,0
-1,28,2,338409,11,13,0,5,0,4,0,0,0,40,12
-1,37,2,284582,12,14,0,4,0,0,0,0,0,40,0
-1,49,2,160187,4,5,5,2,3,4,0,0,0,16,18
1,52,1,209642,8,9,0,4,2,0,1,0,0,45,0
1,31,2,45781,12,14,2,5,3,0,0,14084,0,50,0
1,42,2,159449,11,13,0,4,2,0,1,5178,0,40,0
1,37,2,280464,9,10,0,4,2,4,1,0,0,80,0
1,30,0,141297,11,13,0,5,2,1,1,0,0,40,7
-1,23,2,122272,11,13,2,8,1,0,0,0,0,30,0
-1,32,2,205019,14,12,2,3,3,4,1,0,0,50,0
1,40,2,121772,15,11,0,1,2,1,1,0,0,40,-1
-1,34,2,245487,3,4,0,10,2,2,1,0,0,45,20
-1,25,1,176756,8,9,2,9,1,0,1,0,0,35,0
-1,32,2,186824,8,9,2,7,5,0,1,0,0,40,0
-1,38,2,28887,6,7,0,3,2,0,1,0,0,50,0
1,43,1,292175,12,14,1,4,5,0,0,0,0,45,0
1,40,2,193524,13,16,0,5,2,0,1,0,0,60,0
-1,54,2,302146,8,9,3,2,5,4,0,0,0,20,0
-1,35,3,76845,4,5,0,9,2,4,1,0,0,40,0
-1,43,2,117037,6,7,0,10,2,0,1,0,2042,40,0
-1,59,2,109015,8,9,1,0,5,0,0,0,0,40,0
1,56,4,216851,11,13,0,0,2,0,1,0,0,40,0
-1,19,2,168294,8,9,2,1,1,0,1,0,0,40,0
1,54,-1,180211,9,10,0,-1,2,1,1,0,0,60,10
-1,39,2,367260,8,9,1,4,3,0,1,0,0,80,0
-1,49,2,193366,8,9,0,1,2,0,1,0,0,40,0
-1,23,4,190709,14,12,2,12,3,0,1,0,0,52,0
-1,20,2,266015,9,10,2,3,1,4,1,0,0,44,0
-1,45,2,386940,11,13,1,4,1,0,1,0,1408,40,0
-1,30,3,59951,9,10,0,8,1,0,1,0,0,40,0
-1,22,0,311512,9,10,0,2,2,4,1,0,0,15,0
-1,48,2,242406,6,7,2,7,5,0,1,0,0,40,3
-1,21,2,197200,9,10,2,7,1,0,1,0,0,40,0
-1,19,2,544091,8,9,6,8,0,0,0,0,0,25,0
1,31,2,84154,9,10,0,3,2,0,1,0,0,38,-1
-1,48,1,265477,14,12,0,5,2,0,1,0,0,40,0
-1,31,2,507875,4,5,0,7,2,0,1,0,0,43,0
-1,53,1,88506,11,13,0,5,2,0,1,0,0,40,0
-1,24,2,172987,11,13,0,0,2,0,1,0,0,50,0
-1,49,2,94638,8,9,3,8,5,0,0,0,0,40,0
-1,25,2,289980,8,9,2,6,3,0,1,0,0,35,0
1,57,3,337895,11,13,0,5,2,4,1,0,0,40,0
-1,53,2,144361,8,9,0,7,2,0,1,0,0,38,0
-1,44,2,128354,12,14,1,4,5,0,0,0,0,40,0
-1,41,0,101603,15,11,0,1,2,0,1,0,0,40,0
-1,29,2,271466,15,11,2,5,3,0,1,0,0,43,0
-1,25,2,32275,9,10,0,4,0,3,0,0,0,40,0
-1,18,2,226956,8,9,2,2,1,0,0,0,0,30,-1
1,47,2,51835,10,15,0,5,0,0,0,0,1902,60,14
1,50,3,251585,11,13,1,4,3,0,1,0,0,55,0
-1,47,5,109832,8,9,1,4,3,0,1,0,0,60,0
1,43,2,237993,9,10,0,0,2,0,1,0,0,40,0
-1,46,2,216666,2,3,0,7,2,0,1,0,0,40,20
-1,35,2,56352,15,11,0,2,2,0,1,0,0,40,3
-1,41,2,147372,8,9,0,8,2,0,1,0,0,48,0
-1,30,2,188146,8,9,0,7,2,0,1,5013,0,40,0
-1,30,2,59496,11,13,0,3,2,0,1,2407,0,40,0
-1,32,-1,293936,3,4,5,-1,3,0,1,0,0,40,-1
-1,48,2,149640,8,9,0,10,2,0,1,0,0,40,0
1,42,2,116632,13,16,0,5,2,0,1,0,0,45,0
-1,29,2,105598,9,10,1,0,3,0,1,0,0,58,0
-1,36,2,155537,8,9,0,1,2,0,1,0,0,40,0
-1,28,2,183175,9,10,1,8,3,0,0,0,0,40,0
1,53,2,169846,8,9,0,8,0,0,0,0,0,40,0
1,49,5,191681,9,10,0,4,2,0,1,0,0,50,0
-1,25,-1,200681,9,10,2,-1,1,0,1,0,0,40,0
-1,19,2,101509,9,10,2,5,1,0,1,0,0,32,0
-1,31,2,309974,11,13,3,3,1,4,0,0,0,40,0
1,29,1,162298,11,13,0,3,2,0,1,0,0,70,0
-1,23,2,211678,9,10,2,7,3,0,1,0,0,40,0
-1,79,2,124744,9,10,0,5,4,0,1,0,0,20,0
-1,27,2,213921,8,9,2,2,1,0,1,0,0,40,20
-1,40,2,32214,14,12,0,8,2,0,1,0,0,40,0
-1,67,-1,212759,5,6,0,-1,2,0,1,0,0,2,0
-1,18,2,309634,6,7,2,2,1,0,0,0,0,22,0
-1,31,4,125927,3,4,0,9,2,0,1,0,0,40,0
-1,18,2,446839,8,9,2,3,3,0,1,0,0,30,0
-1,52,2,276515,11,13,0,2,2,0,1,0,0,40,12
-1,46,2,51618,8,9,0,2,0,0,0,0,0,40,0
-1,59,2,159937,8,9,0,3,2,0,1,0,0,48,0
1,44,2,343591,8,9,1,1,3,0,0,14344,0,40,0
-1,53,2,346253,8,9,1,3,1,0,0,0,0,35,0
1,49,4,268234,8,9,0,12,2,0,1,0,0,40,0
-1,33,2,202051,12,14,0,5,2,0,1,0,0,50,0
-1,30,2,54334,4,5,2,3,3,0,1,0,0,40,0
1,43,3,410867,13,16,2,5,3,0,0,0,0,50,0
-1,57,2,249977,15,11,0,5,2,0,1,0,0,40,0
